City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mporokoso,-9.37,30.12,288.35,84,73,2.94,ZM,1588997060
Saskylakh,71.92,114.08,258.03,93,59,2.14,RU,0
Juradó,7.11,-77.76,300.52,85,100,1.47,CO,1588935307
Sitka,57.05,-135.33,288.15,47,90,2.1,US,1588942526
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bethel,41.37,-73.41,279.26,93,90,3.89,US,1588930903
Tuktoyaktuk,69.45,-133.04,272.15,80,5,7.7,CA,1588934674
Saint Paul Harbor,57.79,-152.41,280.15,87,90,8.2,US,1588946387
Matamoros,25.53,-103.25,307.15,16,75,2.1,MX,1588939882
Gizo Government Station,-8.1,156.84,302.07,72,28,2.63,SB,1588966547
Te Anau,-45.42,167.72,286.69,76,37,1.79,NZ,1588967660
Hambantota,6.12,81.12,300.5,84,83,3.12,LK,1588983645
Busselton,-33.65,115.33,278.71,76,0,2.82,AU,1588978741
Marzuq,14.4,46.47,296.82,58,3,1.94,YE,1588991307
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rikitea,-23.12,-134.97,297.54,69,25,2.02,PF,1588951388
Hermanus,-34.42,19.23,288.71,84,9,4.42,ZA,1589001901
Mananjary,-21.22,48.33,294.2,87,63,2.82,MG,1588993644
Darhan,49.49,105.92,277.84,70,94,4.77,MN,1588972854
Nikolskoye,59.7,30.79,279.15,56,33,4,RU,1588988086
Avarua,-21.21,-159.78,301.15,74,46,4.6,CK,1588957179
Ust-Nera,64.57,143.2,273.66,90,100,0.59,RU,1588958883
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dunedin,-45.87,170.5,288.15,59,52,2.24,NZ,1588967062
Tilichiki,60.47,166.1,270.62,97,46,5.72,RU,1588955371
Hamilton,39.18,-84.53,284.26,43,90,7.2,US,1588933872
Ilulissat,69.22,-51.1,274.15,59,99,2.6,GL,1588915386
Punta Arenas,-53.15,-70.92,282.15,70,71,4.6,CL,1588939910
San Quintín,30.48,-115.95,294.76,59,0,3.58,MX,1588942434
